longitude,latitude,location,borough,valid,seqnum,team_name,latitude_guess,longitude_guess,distance,score
-77.04618627955341,38.89453246747867,"38.8945324674787,-77.0461862795534",DC,TRUE,1,Jay,38.918604503501776,-77.04123979439568,8903.311792250215,1477
-76.98072562475656,38.87035561104852,"38.8703556110485,-76.9807256247566",DC,TRUE,2,Jay,38.88864123709439,-76.93520887148651,14562.605243133758,680
-76.98291201163023,38.94377519658441,"38.9437751965844,-76.9829120116302",DC,TRUE,3,Jay,38.84847385338309,-76.98567370755528,34814.94480988008,42
-76.98752912944293,38.94463919841544,"38.9446391984154,-76.9875291294429",DC,TRUE,4,Jay,38.867942793570535,-76.96129953503225,28986.14900138992,94
-77.02559761345107,38.90636012301805,"38.906360123018,-77.0255976134511",DC,TRUE,5,Jay,38.920082029645634,-77.02858283524435,5082.828909297822,2492
